no,n,orbit,members,loops,loop_nodes,rep,rep_edges,rep_weight,es_lo,vc_min,chi_min,es_up,mindeg_g,nodes,edges,selfloops,density,min_degree,max_degree,aspl,aspl_se,diameter,diameter_exactly_known,chi_og
1,3,0,30,18,18,9,2,2,1,1,2,1,2,30,169,18,0.38850574712643676,7,15,1.6482758620689655,0.0,3,True,7
2,4,2,58,20,20,73,3,3,1,1,2,1,3,58,382,20,0.23109497882637628,7,19,1.8705384150030249,0.0,3,True,9
3,4,0,488,200,200,577,3,3,2,2,2,2,2,488,4763,200,0.04008314538660922,7,28,2.6796798734305045,0.0,5,True,10
4,4,1,309,40,40,4688,4,5,2,2,2,2,3,309,3384,40,0.07111335266675073,7,28,2.325305762198966,0.0,5,True,12
5,5,6,91,47,47,585,4,4,1,1,2,1,4,91,699,47,0.1706959706959707,7,22,2.0354090354090353,0.0,4,True,9
6,5,0,1930,964,964,4673,4,4,2,2,2,2,3,1930,22489,964,0.012081214729100691,14,35,3.1518035332006438,0.0,5,True,12
7,5,3,10780,5020,5020,37384,4,4,2,2,2,2,2,10780,149980,5020,0.002581464233088423,14,35,3.7309451711661565,0.0037410732099963824,6,False,13
8,5,4,27142,580,580,2363968,5,5,2,3,3,3,2,27142,466092,580,0.0012654178409890133,7,35,3.725459563022733,0.0024200161299066368,6,False,17
9,5,1,18580,4980,4980,37456,5,6,2,2,2,2,3,18580,284606,4980,0.0016489443647123843,17,35,3.7530313256902956,0.003231266236271504,6,False,15
10,5,2,27142,580,580,2364032,5,6,2,3,3,3,3,27142,466092,580,0.0012654178409890133,7,35,3.725993183744151,0.002534409961567346,7,False,17
11,5,5,3320,120,120,303752,6,8,2,2,2,2,4,3320,53620,120,0.009732209948561948,17,35,2.960699804339382,0.0,5,True,16
12,6,37,144,60,60,4681,5,5,1,1,2,1,5,144,1150,60,0.1116938616938617,7,27,2.284965034965035,0.0,4,True,9
13,6,36,3549,1681,1681,37441,5,5,2,2,2,2,4,3549,43818,1681,0.00695973872628109,14,40,3.40554860397025,0.0,6,True,12
14,6,33,2100,1020,1020,299521,5,5,2,2,2,2,3,2100,26260,1020,0.011914970847796002,7,41,3.1572885047301438,0.0,6,True,12
15,6,25,45200,21200,21200,299528,5,5,2,2,2,2,3,45200,686920,21200,0.0006724637771961044,21,42,4.282307197061882,0.00461437049044603,6,False,15
16,6,32,29504,16176,16176,136318985,5,5,3,3,2,3,3,29504,458376,16176,0.0010531852968663873,14,42,4.059159746466461,0.00470012792892053,6,False,14
17,6,19,249708,108288,108288,136351808,5,5,3,3,2,3,2,249708,4378622,108288,0.00014044435152886652,14,42,4.7743316086453325,0.0038425007088938993,8,False,17
18,6,35,10244,5804,5804,2396232,6,6,2,2,2,2,3,10244,156448,5804,0.002981969991754066,7,42,3.6236226691399005,0.004887872944894727,6,False,14
19,6,29,20512,11680,11680,136351753,6,6,3,3,3,3,3,20512,313748,11680,0.0014914754846739138,7,42,3.997869484666764,0.005642510333750305,8,False,14
20,6,23,1099904,263560,263560,136352320,6,6,3,3,3,3,3,1099904,21105052,263560,3.489050490023962e-05,14,42,5.172171013262079,0.003046000883859426,8,False,18
21,6,16,3176184,0,0,1225003520,6,6,3,3,2,3,2,3176184,66437744,0,1.3171453467887728e-05,7,42,5.373183330116684,0.0018797284380467976,8,False,20
22,6,28,39200,12600,12600,299600,6,7,2,2,2,2,4,39200,645908,12600,0.000840697206457266,22,42,4.009890303324064,0.0041192192834335365,6,False,16
23,6,15,50760,21760,21760,2396240,6,7,2,2,2,2,4,50760,868980,21760,0.0006745359578711007,24,42,4.025227112433263,0.004050320108821981,6,False,16
24,6,34,20512,11680,11680,136351754,6,7,3,3,3,3,4,20512,313748,11680,0.0014914754846739138,7,42,4.005257081565989,0.0056065022237371896,7,False,14
25,6,2,254688,108288,108288,136351810,6,7,3,3,2,3,3,254688,4457520,108288,0.0001374383824763474,14,42,4.743768025066061,0.003554850009993757,7,False,16
26,6,21,128740,54480,54480,136351873,6,7,3,3,2,3,4,128740,2233074,54480,0.00026946941190495935,14,42,4.478663815937672,0.003715205905612539,7,False,16
27,6,11,1099904,263560,263560,136352384,6,7,3,3,3,3,3,1099904,21105052,263560,3.489050490023962e-05,14,42,5.162456639358198,0.0030990670988594354,8,False,18
28,6,17,432320,121440,121440,153097224,6,7,3,3,2,3,3,432320,8215456,121440,8.79127811987683e-05,29,42,4.7947743957586875,0.00358115939342049,7,False,18
29,6,7,6323480,0,0,1225004032,6,7,3,3,2,3,3,6323480,132697096,0,6.637112581942899e-06,7,42,5.618135866190114,0.0017406253229146134,8,False,19
30,6,20,25799,11439,11439,2429064,6,8,2,2,2,2,4,25799,434698,11439,0.001306257288777172,14,42,3.7975567873478564,0.0036918661591633663,6,False,16
31,6,22,791886,13350,13350,1225269760,6,8,3,3,2,3,3,791886,16540502,13350,5.275381842882461e-05,7,42,4.782899956433068,0.002274571550551302,8,False,19
32,6,10,1895552,10880,10880,153130048,7,8,3,3,3,3,4,1895552,39310848,10880,2.1881204831118652e-05,21,42,5.13772782425796,0.0023047625423323627,7,False,19
33,6,8,1102316,269990,269990,1210585153,7,8,3,3,3,3,3,1102316,21172483,269990,3.484897108450084e-05,14,42,5.153402912960451,0.0029232592011458176,7,False,18
34,6,9,1102316,269990,269990,1210585160,7,8,3,3,3,3,3,1102316,21172483,269990,3.484897108450084e-05,14,42,5.157509532211754,0.0030600697506716324,7,False,18
35,6,30,44216,10336,10336,2429576,7,9,2,2,2,2,5,44216,805020,10336,0.0008235454742635543,17,42,3.8797077914734817,0.004009914821298869,6,False,17
36,6,14,222064,54184,54184,153162760,7,9,3,3,2,3,4,222064,4200164,54184,0.00017034989992838694,20,42,4.493026244804402,0.0028644141488120304,7,False,18
